"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Volibear","Top",3,"0.1%","3.6%","8.9%","33%","100%",3,7,9,1.7,"50.0%","17.9%","0%",-58,-247,-1.7,8.5,"26.3%",575,"36.2%","22.6%",0.36,0.16
"Wukong","Jungle",811,"26.5%","19.0%","45.6%","49%","38%",2274,2152,4695,3.2,"70.3%","21.9%","15%",-61,-92,-2.3,5.5,"14.9%",310,"15.0%","18.1%",0.33,0.45
"Wukong","Top",2,"0.1%","19.0%","45.6%","50%","100%",3,6,10,2.2,"61.9%","22.2%","-","-","-","-",7.5,"-",301,"19.7%","19.5%",0.38,0.11
"Xayah","ADC",530,"17.3%","8.9%","26.2%","53%","57%",2039,1131,2607,4.1,"68.4%","16.9%","13%",-65,3,-1.1,10,"33.5%",595,"28.3%","27.0%",0.42,0.35
"Xerath","Middle",9,"0.3%","0.1%","0.4%","22%","100%",27,22,33,2.7,"73.2%","22.0%","22%",-55,16,-3.2,8.5,"22.9%",733,"36.1%","22.8%",0.48,0.06
"Xin Zhao","Jungle",466,"15.2%","7.8%","23.0%","46%","51%",990,1386,2758,2.7,"66.2%","22.9%","18%",-56,-27,-1.5,5.6,"14.9%",293,"15.1%","17.3%",0.36,0.4
"Yasuo","ADC",3,"0.1%","0.4%","1.2%","67%","67%",4,5,18,4.4,"62.9%","17.9%","67%",180,377,3,8.5,"27.6%",251,"12.6%","21.2%",0.45,0.22
"Yasuo","Middle",15,"0.5%","0.4%","1.2%","40%","80%",42,37,47,2.4,"62.2%","19.4%","20%",58,148,3.9,9.4,"28.3%",255,"15.9%","25.4%",0.44,0.21
"Yasuo","Support",4,"0.1%","0.4%","1.2%","50%","25%",7,12,18,2.1,"62.5%","30.8%","25%",842,702,68.3,9.1,"22.3%",253,"12.1%","20.5%",0.5,0.16
"Yasuo","Top",3,"0.1%","0.4%","1.2%","33%","100%",10,9,5,1.7,"41.7%","20.9%","0%",264,37,14.3,9.5,"28.3%",351,"16.8%","24.7%",0.14,0.18
